"station","year","species","original_total_count","adjusted_total_count","n_samples","total_area","original_density","adjusted_density","density_difference","density_ratio"
"A7",1999,"Abra nitida",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Ampharetidae",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Chaetozone setosa",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"A7",1999,"Cossura longocirrata",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Ennucula tenuis",7,7,1,0.0225,311.111111111111,311.111111111111,0,1
"A7",1999,"Eteone longa",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Lanassa venusta",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"A7",1999,"Ophelina acuminata",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Pectinaria granulata",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Praxillella praetermissa",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Protomedeia fasciata",7,7,1,0.0225,311.111111111111,311.111111111111,0,1
"A7",1999,"Scalibregma inflatum",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Schistomeringos nigridentata",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Scoloplos armiger",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Spio",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Sternaspis scutata",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Terebellides stroemii",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",2013,"Capitella capitata",17,24,2,0.08,212.5,300,87.5,1.41176470588235
"A7",2014,"Capitella capitata",201,804,3,0.12,1675,6700,5025,4
"A7",2014,"Eteone longa",33,132,3,0.12,275,1100,825,4
"A7",2014,"Malacoceros fuliginosus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2014,"Microphthalmus aberrans",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2014,"Spio",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"A7",2015,"Aricidea suecica",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Crenella decussata",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Eteone longa",3,6,3,0.12,25,50,25,2
"A7",2015,"Macoma calcarea",11,44,3,0.12,91.6666666666667,366.666666666667,275,4
"A7",2015,"Mediomastus fragilis",9,36,3,0.12,75,300,225,4
"A7",2015,"Microphthalmus aberrans",3,12,3,0.12,25,100,75,4
"A7",2015,"Mya arenaria",4,16,3,0.12,33.3333333333333,133.333333333333,100,4
"A7",2015,"Nepthys",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"A7",2015,"Ophelina acuminata",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"A7",2015,"Pectinaria koreni",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Polydora",13,22,3,0.12,108.333333333333,183.333333333333,75,1.69230769230769
"A7",2015,"Scalibregma inflatum",2,5,3,0.12,16.6666666666667,41.6666666666667,25,2.5
"A7",2015,"Scoloplos armiger",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Sphaerosyllis erinaceus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Spio",2,5,3,0.12,16.6666666666667,41.6666666666667,25,2.5
"A7",2016,"Ampharetidae",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2016,"Arctica islandica",3,12,3,0.12,25,100,75,4
"A7",2016,"Aricidea suecica",4,16,3,0.12,33.3333333333333,133.333333333333,100,4
"A7",2016,"Capitella capitata",8,23,3,0.12,66.6666666666667,191.666666666667,125,2.875
"A7",2016,"Cardiidae",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"A7",2016,"Chaetozone setosa",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"A7",2016,"Cossura longocirrata",6,24,3,0.12,50,200,150,4
"A7",2016,"Crassicorophium bonellii",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"A7",2016,"Eteone longa",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"A7",2016,"Heteromastus filiformis",30,111,3,0.12,250,925,675,3.7
"A7",2016,"Macoma calcarea",11,41,3,0.12,91.6666666666667,341.666666666667,250,3.72727272727273
"A7",2016,"Maldanidae",19,49,3,0.12,158.333333333333,408.333333333333,250,2.57894736842105
"A7",2016,"Microphthalmus aberrans",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2016,"Mya arenaria",14,35,3,0.12,116.666666666667,291.666666666667,175,2.5
"A7",2016,"NA",5,8,3,0.12,41.6666666666667,66.6666666666667,25,1.6
"A7",2016,"Ophelina acuminata",68,146,3,0.12,566.666666666667,1216.66666666667,650,2.14705882352941
"A7",2016,"Paraonidae",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2016,"Polydora",31,76,3,0.12,258.333333333333,633.333333333333,375,2.45161290322581
"A7",2016,"Pseudopolydora antennata",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2016,"Scalibregma inflatum",19,58,3,0.12,158.333333333333,483.333333333333,325,3.05263157894737
"A7",2016,"Scoloplos armiger",12,48,3,0.12,100,400,300,4
"A7",2016,"Serripes groenlandicus",2,5,3,0.12,16.6666666666667,41.6666666666667,25,2.5
"A7",2016,"Spio",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2016,"Spionida",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2016,"Spionidae",2,2,3,0.12,16.6666666666667,16.6666666666667,0,1
"A7",2016,"Syllis cornuta",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2017,"Abra nitida",8,32,2,0.08,100,400,300,4
"A7",2017,"Arctica islandica",1,4,2,0.08,12.5,50,37.5,4
"A7",2017,"Aricidea suecica",3,12,2,0.08,37.5,150,112.5,4
"A7",2017,"Chaetozone setosa",7,28,2,0.08,87.5,350,262.5,4
"A7",2017,"Cossura longocirrata",1,4,2,0.08,12.5,50,37.5,4
"A7",2017,"Crassicorophium bonellii",2,8,2,0.08,25,100,75,4
"A7",2017,"Eteone longa",2,8,2,0.08,25,100,75,4
"A7",2017,"Harmothoe extenuata",2,8,2,0.08,25,100,75,4
"A7",2017,"Macoma calcarea",8,23,2,0.08,100,287.5,187.5,2.875
"A7",2017,"Mediomastus fragilis",8,32,2,0.08,100,400,300,4
"A7",2017,"Microphthalmus aberrans",4,16,2,0.08,50,200,150,4
"A7",2017,"Onoba aculeus",1,4,2,0.08,12.5,50,37.5,4
"A7",2017,"Ophelina acuminata",4,13,2,0.08,50,162.5,112.5,3.25
"A7",2017,"Polydora",1,4,2,0.08,12.5,50,37.5,4
"A7",2017,"Praxillella praetermissa",10,31,2,0.08,125,387.5,262.5,3.1
"A7",2017,"Priapulus caudatus",1,4,2,0.08,12.5,50,37.5,4
"A7",2017,"Scalibregma inflatum",50,176,2,0.08,625,2200,1575,3.52
"A7",2017,"Scoloplos armiger",12,48,2,0.08,150,600,450,4
"A7",2017,"Spio",2,8,2,0.08,25,100,75,4
"A7",2017,"Terebellides stroemii",1,1,2,0.08,12.5,12.5,0,1
"A7",2017,"Thyasira flexuosa",1,4,2,0.08,12.5,50,37.5,4
"B5",1999,"Abra nitida",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B5",1999,"Ampharetidae",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Apistobranchus tullbergi",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Arctica islandica",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Chaetozone setosa",39,39,1,0.0225,1733.33333333333,1733.33333333333,0,1
"B5",1999,"Dodecaceria concharum",8,8,1,0.0225,355.555555555556,355.555555555556,0,1
"B5",1999,"Ennucula tenuis",32,32,1,0.0225,1422.22222222222,1422.22222222222,0,1
"B5",1999,"Lanassa venusta",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Macoma calcarea",10,10,1,0.0225,444.444444444444,444.444444444444,0,1
"B5",1999,"Microphthalmus aberrans",8,8,1,0.0225,355.555555555556,355.555555555556,0,1
"B5",1999,"Myriochele oculata",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Mytilus edulis",20,20,1,0.0225,888.888888888889,888.888888888889,0,1
"B5",1999,"Ophiuroidea",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B5",1999,"Pectinaria granulata",12,12,1,0.0225,533.333333333333,533.333333333333,0,1
"B5",1999,"Pholoe minuta",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Praxillella praetermissa",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Priapulus caudatus",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Scalibregma inflatum",50,50,1,0.0225,2222.22222222222,2222.22222222222,0,1
"B5",1999,"Schistomeringos nigridentata",16,16,1,0.0225,711.111111111111,711.111111111111,0,1
"B5",1999,"Scoloplos armiger",9,9,1,0.0225,400,400,0,1
"B5",1999,"Spio",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B5",1999,"Sternaspis scutata",10,10,1,0.0225,444.444444444444,444.444444444444,0,1
"B5",1999,"Terebellides stroemii",25,25,1,0.0225,1111.11111111111,1111.11111111111,0,1
"B5",1999,"Thyasira flexuosa",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B5",1999,"Yoldia hyperborea",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"B5",2013,"Acarina",1,8,3,0.12,8.33333333333333,66.6666666666667,58.3333333333333,8
"B5",2013,"Capitella capitata",712,1247,3,0.12,5933.33333333333,10391.6666666667,4458.33333333333,1.75140449438202
"B5",2013,"Microphthalmus aberrans",3,3,3,0.12,25,25,0,1
"B5",2013,"Spio",3,3,3,0.12,25,25,0,1
"B5",2014,"Capitella capitata",156,156,3,0.12,1300,1300,0,1
"B5",2014,"Chaetozone setosa",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2014,"Cirratulus cirratus",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2014,"Ennucula tenuis",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2014,"Eteone longa",68,68,3,0.12,566.666666666667,566.666666666667,0,1
"B5",2014,"Euchone",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2014,"Harmothoe extenuata",5,5,3,0.12,41.6666666666667,41.6666666666667,0,1
"B5",2014,"Lanassa venusta",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2014,"Macoma calcarea",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2014,"Malacoceros fuliginosus",58,58,3,0.12,483.333333333333,483.333333333333,0,1
"B5",2014,"Microphthalmus aberrans",3,3,3,0.12,25,25,0,1
"B5",2014,"Phyllodoce maculata",4,4,3,0.12,33.3333333333333,33.3333333333333,0,1
"B5",2014,"Polydora",2,2,3,0.12,16.6666666666667,16.6666666666667,0,1
"B5",2014,"Priapulus caudatus",2,2,3,0.12,16.6666666666667,16.6666666666667,0,1
"B5",2014,"Protomedeia fasciata",7,7,3,0.12,58.3333333333333,58.3333333333333,0,1
"B5",2014,"Scoloplos armiger",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2014,"Sphaerosyllis erinaceus",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2014,"Spio",37,37,3,0.12,308.333333333333,308.333333333333,0,1
"B5",2015,"Capitella capitata",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2015,"Chaetozone setosa",4,16,3,0.12,33.3333333333333,133.333333333333,100,4
"B5",2015,"Cirratulus cirratus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2015,"Ennucula tenuis",3,12,3,0.12,25,100,75,4
"B5",2015,"Eteone longa",4,10,3,0.12,33.3333333333333,83.3333333333333,50,2.5
"B5",2015,"Lanassa venusta",5,20,3,0.12,41.6666666666667,166.666666666667,125,4
"B5",2015,"Macoma calcarea",33,132,3,0.12,275,1100,825,4
"B5",2015,"Mediomastus fragilis",19,76,3,0.12,158.333333333333,633.333333333333,475,4
"B5",2015,"Microphthalmus aberrans",5,20,3,0.12,41.6666666666667,166.666666666667,125,4
"B5",2015,"Mya arenaria",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"B5",2015,"Mytilus edulis",7,28,3,0.12,58.3333333333333,233.333333333333,175,4
"B5",2015,"Ophelina acuminata",34,118,3,0.12,283.333333333333,983.333333333333,700,3.47058823529412
"B5",2015,"Pectinaria koreni",2,2,3,0.12,16.6666666666667,16.6666666666667,0,1
"B5",2015,"Polydora",8,23,3,0.12,66.6666666666667,191.666666666667,125,2.875
"B5",2015,"Praxillella praetermissa",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2015,"Priapulus caudatus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2015,"Scalibregma inflatum",2,2,3,0.12,16.6666666666667,16.6666666666667,0,1
"B5",2015,"Scoloplos armiger",9,30,3,0.12,75,250,175,3.33333333333333
"B5",2015,"Spio",9,36,3,0.12,75,300,225,4
"B5",2016,"Arctica islandica",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2016,"Aricidea suecica",3,12,3,0.12,25,100,75,4
"B5",2016,"Capitella capitata",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2016,"Chaetozone setosa",10,40,3,0.12,83.3333333333333,333.333333333333,250,4
"B5",2016,"Cirratulus cirratus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2016,"Cossura longocirrata",5,20,3,0.12,41.6666666666667,166.666666666667,125,4
"B5",2016,"Ennucula tenuis",8,32,3,0.12,66.6666666666667,266.666666666667,200,4
"B5",2016,"Heteromastus filiformis",11,44,3,0.12,91.6666666666667,366.666666666667,275,4
"B5",2016,"Levinsenia gracilis",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2016,"Macoma calcarea",19,70,3,0.12,158.333333333333,583.333333333333,425,3.68421052631579
"B5",2016,"Maldanidae",8,29,3,0.12,66.6666666666667,241.666666666667,175,3.625
"B5",2016,"Microphthalmus aberrans",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"B5",2016,"Mya arenaria",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2016,"NA",4,16,3,0.12,33.3333333333333,133.333333333333,100,4
"B5",2016,"Nuculana pernula",3,12,3,0.12,25,100,75,4
"B5",2016,"Ophelina acuminata",73,289,3,0.12,608.333333333333,2408.33333333333,1800,3.95890410958904
"B5",2016,"Polydora",2,5,3,0.12,16.6666666666667,41.6666666666667,25,2.5
"B5",2016,"Sabellidae",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2016,"Scalibregma inflatum",5,17,3,0.12,41.6666666666667,141.666666666667,100,3.4
"B5",2016,"Spio",6,24,3,0.12,50,200,150,4
"B5",2016,"Spionidae",4,13,3,0.12,33.3333333333333,108.333333333333,75,3.25
"B5",2016,"scalibregma inflatum",6,24,3,0.12,50,200,150,4
"B5",2017,"Abra nitida",18,72,3,0.12,150,600,450,4
"B5",2017,"Acanthocardia echinata",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2017,"Arctica islandica",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2017,"Aricidea suecica",5,20,3,0.12,41.6666666666667,166.666666666667,125,4
"B5",2017,"Chaetozone setosa",6,24,3,0.12,50,200,150,4
"B5",2017,"Cossura longocirrata",4,16,3,0.12,33.3333333333333,133.333333333333,100,4
"B5",2017,"Cossura pygodactylata",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"B5",2017,"Ennucula tenuis",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2017,"Eteone longa",3,12,3,0.12,25,100,75,4
"B5",2017,"Lanassa venusta",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"B5",2017,"Macoma calcarea",61,121,3,0.12,508.333333333333,1008.33333333333,500,1.98360655737705
"B5",2017,"Mediomastus fragilis",16,64,3,0.12,133.333333333333,533.333333333333,400,4
"B5",2017,"Microphthalmus aberrans",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2017,"Nepthys",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B5",2017,"Notomastus latericeus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2017,"Ophelina acuminata",13,49,3,0.12,108.333333333333,408.333333333333,300,3.76923076923077
"B5",2017,"Pectinaria koreni",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"B5",2017,"Polydora",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"B5",2017,"Praxillella praetermissa",13,34,3,0.12,108.333333333333,283.333333333333,175,2.61538461538462
"B5",2017,"Priapulus caudatus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2017,"Pycnogonida",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2017,"Scalibregma inflatum",6,15,3,0.12,50,125,75,2.5
"B5",2017,"Scoloplos armiger",21,78,3,0.12,175,650,475,3.71428571428571
"B5",2017,"Serripes groenlandicus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B5",2017,"Spio",2,5,3,0.12,16.6666666666667,41.6666666666667,25,2.5
"B5",2017,"Thyasira flexuosa",5,20,3,0.12,41.6666666666667,166.666666666667,125,4
"B8",1999,"Abra nitida",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"B8",1999,"Ampharetidae",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B8",1999,"Apistobranchus tullbergi",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B8",1999,"Arctica islandica",9,9,1,0.0225,400,400,0,1
"B8",1999,"Buccinum undatum",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B8",1999,"Chaetozone setosa",7,7,1,0.0225,311.111111111111,311.111111111111,0,1
"B8",1999,"Cossura longocirrata",29,29,1,0.0225,1288.88888888889,1288.88888888889,0,1
"B8",1999,"Crenella decussata",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"B8",1999,"Cumacea",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"B8",1999,"Ennucula tenuis",25,25,1,0.0225,1111.11111111111,1111.11111111111,0,1
"B8",1999,"Eteone longa",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"B8",1999,"Lanassa venusta",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"B8",1999,"Leda pernula",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"B8",1999,"Lumbrineris",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B8",1999,"Macoma calcarea",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"B8",1999,"Mytilus edulis",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"B8",1999,"Ophelina acuminata",6,6,1,0.0225,266.666666666667,266.666666666667,0,1
"B8",1999,"Pectinaria granulata",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"B8",1999,"Praxillella praetermissa",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"B8",1999,"Protomedeia fasciata",21,21,1,0.0225,933.333333333333,933.333333333333,0,1
"B8",1999,"Retusa pertenuis",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B8",1999,"Scalibregma inflatum",19,19,1,0.0225,844.444444444444,844.444444444444,0,1
"B8",1999,"Scoloplos armiger",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"B8",1999,"Spio",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B8",1999,"Sternaspis scutata",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"B8",1999,"Syllis gracilis",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"B8",1999,"Terebellides stroemii",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"B8",1999,"Thracia villosiuscula",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"B8",1999,"Yoldia hyperborea",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"B8",2013,"Capitella capitata",169,343,3,0.12,1408.33333333333,2858.33333333333,1450,2.02958579881657
"B8",2013,"Eteone longa",1,8,3,0.12,8.33333333333333,66.6666666666667,58.3333333333333,8
"B8",2013,"Microphthalmus aberrans",1,8,3,0.12,8.33333333333333,66.6666666666667,58.3333333333333,8
"B8",2014,"Capitella capitata",95,374,3,0.12,791.666666666667,3116.66666666667,2325,3.93684210526316
"B8",2014,"Eteone longa",7,28,3,0.12,58.3333333333333,233.333333333333,175,4
"B8",2014,"Microphthalmus aberrans",3,12,3,0.12,25,100,75,4
"B8",2014,"Mya truncata",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B8",2014,"Mytilidae",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"B8",2014,"Spio",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B8",2015,"Chaetozone setosa",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B8",2015,"Eteone longa",3,6,3,0.12,25,50,25,2
"B8",2015,"Macoma calcarea",15,60,3,0.12,125,500,375,4
"B8",2015,"Mediomastus fragilis",16,61,3,0.12,133.333333333333,508.333333333333,375,3.8125
"B8",2015,"Mya arenaria",4,16,3,0.12,33.3333333333333,133.333333333333,100,4
"B8",2015,"NA",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B8",2015,"Ophelina acuminata",5,17,3,0.12,41.6666666666667,141.666666666667,100,3.4
"B8",2015,"Pectinaria koreni",2,2,3,0.12,16.6666666666667,16.6666666666667,0,1
"B8",2015,"Polydora",11,17,3,0.12,91.6666666666667,141.666666666667,50,1.54545454545455
"B8",2015,"Scoloplos armiger",6,21,3,0.12,50,175,125,3.5
"B8",2015,"Spio",4,16,3,0.12,33.3333333333333,133.333333333333,100,4
"B8",2015,"Terebellides stroemii",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B8",2016,"Abra nitida",10,40,3,0.12,83.3333333333333,333.333333333333,250,4
"B8",2016,"Amphitrite cirrata",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"B8",2016,"Arctica islandica",12,48,3,0.12,100,400,300,4
"B8",2016,"Aricidea suecica",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"B8",2016,"Capitella capitata",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
